id,name,price,category,description,image,available,modifier_groups,tags
6429,BROCHETTES SHAKE KUSHI YAKI,4.94,Plats chauds,,https://www.sushi-aixsud.com/815-large_default/brochettes-shake-kushi-yaki.jpg,true,,"[""mitake""]"
6430,CALIFORNIA THON CUIT,7.32,Maki et rolls,,https://www.sushi-aixsud.com/142-large_default/california-thon-cuit.jpg,true,,[]
6431,CALIFORNIA SAUMON GRILLE,7.32,Maki et rolls,,https://www.sushi-aixsud.com/247-large_default/california-saumon-grille.jpg,true,,[]
7570,SAKE HAKUTSURU 30 CL - 14 degres,10.45,Boissons alcoolisées,,https://www.sushi-aixsud.com/850-large_default/sake-hakutsuru-30-cl-14-degres.jpg,true,,"[""mitake""]"
7571,SAKE SASARA TSUKI 30 CL - 10.5 degres,14.25,Boissons alcoolisées,,https://www.sushi-aixsud.com/393-large_default/sake-sasara-tsuki-30-cl-105-degres.jpg,true,,"[""mitake""]"
7572,SAKE YAMADA NISHIKI 30 CL - 14.5 degres,17.1,Boissons alcoolisées,,https://www.sushi-aixsud.com/131-large_default/sake-yamada-nishiki-30-cl-145-degres.jpg,true,,"[""mitake""]"
7573,SAKE MIYANOYUKI 30 CL - 13.5 degres,14.25,Boissons alcoolisées,,https://www.sushi-aixsud.com/149-large_default/sake-miyanoyuki-30-cl-135-degres.jpg,true,,"[""mitake""]"
7574,CHIRASHI ANGUILLE,20.43,Chirashi,,https://www.sushi-aixsud.com/259-large_default/una-chirashi.jpg,true,,[]
7575,UMESHU boisson aromatisée à base de vin 75CL -...,17.96,Boissons alcoolisées,,https://www.sushi-aixsud.com/152-large_default/umeshu-vin-de-prune-75cl-10-degres.jpg,true,,"[""mitake""]"
7577,"IKI BEER YUZU bio 33CL - 4,5 degres",4.47,Boissons alcoolisées,,https://www.sushi-aixsud.com/143-large_default/iki-beer-33cl-45-degres.jpg,true,,"[""mitake""]"
7578,TAKO KARA AGE,7.7,Plats chauds,,https://www.sushi-aixsud.com/104-large_default/tako-kara-age.jpg,true,,"[""mitake""]"
7589,Gyoza crevettes,8.65,Plats chauds,,https://www.sushi-aixsud.com/227-large_default/gyoza-crevettes.jpg,true,,"[""mitake""]"
7590,Gyoza poulet - legumes,6.37,Plats chauds,,https://www.sushi-aixsud.com/226-large_default/gyoza-poulet-legumes.jpg,true,,"[""mitake""]"
8036,CHIRASHI SAUMON - AVOCAT,16.25,Chirashi,,https://www.sushi-aixsud.com/593-large_default/chirashi-saumon-avocat.jpg,true,,[]
8052,CHIRASHI THON,18.15,Chirashi,,https://www.sushi-aixsud.com/255-large_default/chirashi-thon-saumon.jpg,true,,[]
8053,Wasabi green peas - version large,2.57,Extras,,https://www.sushi-aixsud.com/157-large_default/wasabi-green-peas.jpg,true,,[]
8054,Rice crackers - (version large),2.57,Extras,,https://www.sushi-aixsud.com/158-large_default/rice-crackers.jpg,true,,[]
8057,TEMAKI SAUMON - FEUILLE DE SHISO,5.99,Maki et rolls,,https://www.sushi-aixsud.com/270-large_default/temaki-par-2.jpg,true,,[]
8090,10 SUSHI MIX,17.48,Sushi,,https://www.sushi-aixsud.com/530-large_default/8-sushi-mix.jpg,true,,[]
8091,15 SUSHI MIX,24.32,Sushi,,https://www.sushi-aixsud.com/741-large_default/8-sushi-mix.jpg,true,,[]
8092,15 SASHIMI MIX,23.18,Sashimi,,https://www.sushi-aixsud.com/765-large_default/15-sashimi-mix.jpg,true,,[]
8094,TAMAGO MAKI,4.94,Maki et rolls,,https://www.sushi-aixsud.com/637-large_default/cheese-maki.jpg,true,,[]
8095,SAUMON GRILLE MAKI,5.04,Maki et rolls,,https://www.sushi-aixsud.com/638-large_default/cheese-maki.jpg,true,,[]
8098,10 SASHIMI SAUMON avec bol de riz,15.58,Sashimi,,https://www.sushi-aixsud.com/340-large_default/10-sashimi-saumon-lrriz-bio.jpg,true,,[]
